,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
88,PTTEP,469.0,i | 1 | 2 | 3,,107.5,-1.83,12654000.0,1361879.0,426773.0,16.68,1.12,0.91,2.75,6.44,5.94,6.75,21.35,3.88,34.69,,575.0,517.0,-3.55,,,,,
89,RBF,478.0,i | 1 | 3,,20.8,-2.8,12457100.0,262591.0,41600.0,93.12,10.00,0.19,0.15,0.22,11.19,10.93,8.96,0.70,27.62,,742.0,648.0,1.98,,,,,
90,ROJNA,486.0,i | 1 | 2 | 3,,6.75,-2.88,7450400.0,50802.0,13638.0,5.49,0.91,1.99,0.20,1.23,9.42,17.76,14.32,2.88,31.16,,136.0,199.0,0.03,,,,,
91,RWI,493.0,i | 1 | 3,,2.04,-2.86,40685500.0,84860.0,1298.0,5.97,1.39,0.46,,0.34,25.18,26.81,57.91,,20.01,,64.0,28.0,-0.06,,,,,
92,S,495.0,i | 1 | 2 | 3,,1.94,-2.51,16220100.0,31795.0,13296.0,,0.85,2.79,,0.0,-4.24,-15.88,3.95,,34.71,,,,,,,,,
93,SA,497.0,i | 1 | 3,,6.85,-0.72,3138400.0,21286.0,8122.0,14.54,2.20,2.45,0.20,0.47,6.28,12.23,6.75,2.65,25.99,,381.0,468.0,,,,,,
94,SAAM,498.0,i | 1 | 3,,6.6,-7.04,7641500.0,51053.0,1980.0,76.04,6.53,0.4,0.01,0.09,8.21,8.66,45.75,0.89,23.53,,794.0,711.0,2.82,,,,,
95,SABUY,500.0,i,,9.5,-3.55,4725400.0,44625.0,9752.0,91.71,6.33,0.84,0.03,0.1,5.61,7.16,8.69,0.30,32.96,,849.0,838.0,,,,,,
96,SAK,501.0,i,,9.05,-1.63,4491000.0,40893.0,18969.0,32.86,4.10,0.95,0.11,0.28,10.24,11.69,29.94,1.17,25.02,,597.0,542.0,,,,,,
97,SAM,503.0,i | 1 | 2 | 3,,1.2,-2.44,4565000.0,5552.0,1254.0,,0.75,1.19,,0.0,1.17,-1.0,2.51,,30.83,,,,,,,,,
98,SAPPE,508.0,i | 1 | 2 | 3,,26.75,-3.6,1783300.0,48012.0,8188.0,21.28,2.85,0.28,1.02,1.26,13.6,14.44,11.01,3.66,24.83,,438.0,358.0,3.44,,,,,
99,SCCC,516.0,i | 1 | 2 | 3,,161.5,-1.82,227100.0,36741.0,48127.0,12.28,1.48,1.29,9.00,13.15,7.75,12.08,10.39,5.47,27.91,,340.0,364.0,3.2,,,,,
100,SCGP,518.0,i | 1 | 3,,64.0,-0.39,5839600.0,373367.0,274747.0,40.05,3.06,0.71,0.45,1.6,5.85,7.78,9.3,0.70,26.21,,736.0,728.0,,,,,,
102,SECURE,528.0,i,,24.9,-5.14,3938400.0,96095.0,0.0,,-,,-,0.0,19.5,32.14,9.83,-,28.41,,,,,,,,,
